Danceability,Energy,Popularity,Loudness,Tempo
0.884,0.677,70,-5.603,101.868
0.555,0.496,60,-6.136,79.01
0.675,0.607,64,-3.538,177.928
0.32,0.88,69,-6.035,146.349
0.839,0.706,73,-6.104,96.673
0.665,0.695,70,-5.763,90.119
0.487,0.9,75,-4.417,149.937
0.571,0.953,63,-5.601,137.965
0.534,0.543,58,-6.857,78.996
0.754,0.767,67,-5.586,83.014
0.451,0.97,73,-4.938,122.444
0.597,0.97,60,-5.972,114.999
0.783,0.649,65,-4.127,103.997
0.745,0.807,50,-5.191,93.967
0.654,0.515,64,-12.185,106.191
0.513,0.82,57,-5.428,99.952
0.793,0.568,59,-4.958,100.005
0.38,0.725,47,-6.094,130.581
0.338,0.685,56,-5.178,102.192
0.58,0.748,70,-5.433,109.781
0.921,0.668,60,-8.73,131.059
0.661,0.746,40,-5.153,144.188
0.443,0.769,40,-5.529,147.973
0.499,0.72,60,-9.101,96.103
0.688,0.538,58,-7.608,119.998
0.776,0.844,56,-5.305,125.972
0.432,0.936,64,-4.537,157.469
0.424,0.588,72,-5.455,144.636
0.814,0.852,51,-6.176,184.682
0.624,0.85,60,-4.754,98.525
0.899,0.713,81,-2.752,90.051
0.735,0.824,74,-4.143,100.202
0.686,0.735,77,-4.616,171.355
0.646,0.77,76,-6.596,99.165
0.669,0.873,50,-4.315,88.029
0.835,0.687,68,-3.18,94.059
0.845,0.768,70,-5.448,100
0.81,0.714,56,-3.966,112.968
0.527,0.834,39,-5.767,179.92
0.793,0.698,66,-3.626,130.017
0.648,0.759,68,-4.315,85.996
0.778,0.879,61,-4.951,98.077
0.734,0.668,59,-3.935,99.971
0.759,0.678,71,-5.148,89.64
0.712,0.772,76,-3.024,84.722
0.801,0.645,69,-6.93,110.01
0.554,0.978,72,-3.554,135.095
0.761,0.899,70,-3.09,95.027
0.331,0.943,79,-3.188,94.612
0.785,0.933,57,-4.629,125.011
0.405,0.589,59,-7.51,83.373
0.498,0.83,72,-5.157,89.342
0.78,0.604,47,-8.019,101.043
0.835,0.68,62,-6.02,95.508
0.662,0.748,73,-3.041,82.331
0.602,0.34,36,-9.867,109.598
0.804,0.836,59,-6.635,120.046
0.564,0.6,57,-6.814,78.955
0.581,0.747,54,-6.682,146.301
0.892,0.714,76,-6.055,100.972
